City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,rio grande,-32.035,-52.0986,13.06,86,0,4.15,BR,1684281146
129,ojinaga,29.5667,-104.4167,29.53,34,0,0.0,MX,1684281146
130,dunedin,-45.8742,170.5036,12.11,83,97,1.34,NZ,1684281069
131,brookings,44.3114,-96.7984,24.5,40,0,4.12,US,1684280853
132,kushiro,42.975,144.3747,11.53,82,40,2.57,JP,1684281147
133,keelung,25.1283,121.7419,26.94,78,50,1.38,TW,1684281147
134,anse-bertrand,16.4721,-61.5078,26.9,100,59,5.92,GP,1684281147
135,semirara,12.0697,121.3986,29.09,74,95,4.13,PH,1684281148
136,kolyshley,52.7005,44.5367,9.83,86,69,3.48,RU,1684281148
137,york beach,43.1717,-70.6089,23.51,37,63,2.24,US,1684281148
138,sosnovka,56.255,51.2842,10.39,68,52,1.55,RU,1684281148
139,ancud,-41.8697,-73.8203,12.11,75,91,8.28,CL,1684280855
140,varallo,45.8139,8.259,12.25,75,91,3.15,IT,1684281135
141,dalandzadgad,43.5708,104.425,11.87,31,0,2.84,MN,1684281149
142,konarka,19.9,86.1167,27.22,89,59,5.3,IN,1684281149
143,fale old settlement,-9.3852,-171.2468,28.99,75,94,5.09,TK,1684281066
144,iqaluit,63.7506,-68.5145,-0.15,59,100,7.72,CA,1684281058
145,bilajer,40.5681,50.0378,17.9,48,0,3.09,AZ,1684281149
146,tarko-sale,64.9225,77.785,-2.03,90,100,6.36,RU,1684281149
147,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,62,0,5.0,RU,1684281004
148,san patricio,28.017,-97.5169,28.24,73,47,3.28,US,1684281004
149,northam,51.0333,-4.2167,9.66,90,19,2.31,GB,1684281150
150,saint-francois,46.4154,3.9054,7.04,81,0,2.06,FR,1684281097
151,bayanaul,50.7889,75.6956,10.01,59,49,0.86,KZ,1684281150
152,laguna,38.421,-121.4238,35.73,21,0,2.57,US,1684281153
153,san martin,-33.081,-68.4681,21.3,51,0,4.28,AR,1684281153
154,tshabong,-26.05,22.45,14.71,32,14,2.24,BW,1684281153
155,pacific grove,36.6177,-121.9166,25.91,81,0,4.12,US,1684281037
156,gracemere,-23.4333,150.45,21.95,46,1,3.09,AU,1684281154
157,uturoa,-16.7333,-151.4333,27.38,70,27,3.4,PF,1684281048
158,baruun-urt,46.6806,113.2792,8.66,34,12,0.46,MN,1684281154
159,chonchi,-42.6128,-73.8092,8.95,85,62,2.65,CL,1684281154
160,manismata,-2.4667,111.0333,25.44,83,32,1.36,ID,1684281154
161,tazacorte,28.629,-17.9293,20.54,80,100,7.72,ES,1684281155
162,taro,-8.3862,115.28,21.03,79,41,0.53,ID,1684281155
163,port douglas,-16.4833,145.4667,25.13,80,83,3.26,AU,1684281155
164,kapuskasing,49.4169,-82.4331,0.05,80,100,3.09,CA,1684280936
165,fort bragg,35.139,-79.006,29.91,50,0,5.66,US,1684281046
166,darjiling,27.0333,88.2667,10.08,76,14,2.58,IN,1684281155
167,midelt,32.6852,-4.7451,16.56,34,100,5.54,MA,1684281156
168,stayton,44.8007,-122.7945,28.51,43,10,2.06,US,1684281099
169,belyy yar,53.6039,91.3903,9.94,66,0,6.0,RU,1684281156
170,tura,25.5198,90.2201,20.51,94,0,2.19,IN,1684281058
171,kailua-kona,19.6406,-155.9956,27.98,76,40,5.66,US,1684281156
172,acarau,-2.8856,-40.12,25.68,88,85,4.92,BR,1684281157
173,sabha,27.0377,14.4283,20.02,20,0,1.63,LY,1684281157
174,labytnangi,66.6572,66.4183,-4.68,90,69,1.17,RU,1684281085
175,udachny,66.4167,112.4,1.92,80,100,5.08,RU,1684281157
176,peace river,56.2501,-117.286,21.17,24,20,4.63,CA,1684281157
177,kayangel,8.0823,134.7173,28.29,74,100,1.6,PW,1684281157
178,invercargill,-46.4,168.35,8.89,91,100,3.7,NZ,1684281026
179,carnarvon,-24.8667,113.6333,20.42,35,96,2.48,AU,1684281099
180,manokwari,-0.8667,134.0833,28.52,75,63,1.67,ID,1684281034
181,hwange,-18.3693,26.5019,17.65,64,5,1.35,ZW,1684281158
182,gobernador virasora,-28.05,-56.0333,14.17,78,0,2.48,AR,1684281158
183,peniche,39.3558,-9.3811,15.16,88,49,6.82,PT,1684280951
184,palikir - national government center,6.9248,158.1611,27.47,89,100,4.12,FM,1684281158
185,peruibe,-24.32,-46.9983,17.94,86,6,2.02,BR,1684281158
186,klyuchi,52.2667,79.1667,9.58,72,62,3.04,RU,1684280941
